b	b	b	b	b	b	b	bucket
1	0	186	95	214	255	255	replace00.db
1	1	117	191	173	255	255	replace01.db
1	2	49	32	132	255	255	replace02.db
1	2	235	128	91	255	255	replace03.db
1	3	166	224	50	255	255	replace04.db
1	4	98	65	9	255	255	replace05.db
1	5	29	160	223	255	255	replace06.db
1	5	216	1	182	255	255	replace07.db
1	6	147	97	141	255	255	replace08.db
1	7	78	193	100	255	255	replace09.db
1	8	10	34	59	255	255	replace10.db
1	8	196	130	18	255	255	replace11.db
1	9	127	225	232	255	255	replace12.db
1	10	59	66	191	255	255	replace13.db
1	10	245	162	150	255	255	replace14.db
1	11	177	3	109	255	255	replace15.db
1	12	108	99	68	255	255	replace16.db
1	13	39	195	27	255	255	replace17.db
1	13	226	35	241	255	255	replace18.db
1	14	157	131	186	255	255	replace19.db
2	0	184	238	94	255	255	replace20.db
2	1	114	221	188	255	255	replace21.db
2	2	44	205	27	255	255	replace22.db
2	2	229	188	121	255	255	replace23.db
2	3	159	171	215	255	255	replace24.db
2	4	89	155	54	255	255	replace25.db
2	5	19	138	148	255	255	replace26.db
2	5	204	121	242	255	255	replace27.db
2	6	134	105	81	255	255	replace28.db
2	7	64	88	175	255	255	replace29.db
2	7	249	72	14	255	255	replace30.db
2	8	179	55	108	255	255	replace31.db
2	9	109	38	202	255	255	replace32.db
2	10	39	22	41	255	255	replace33.db
2	10	224	5	135	255	255	replace34.db
2	11	153	243	229	255	255	replace35.db
2	12	83	227	68	255	255	replace36.db
2	13	13	210	162	255	255	replace37.db
2	13	198	194	1	255	255	replace38.db
2	14	128	177	84	255	255	replace39.db
3	0	189	124	18	255	255	replace40.db
3	1	123	248	36	255	255	replace41.db
3	2	58	117	54	255	255	replace42.db
3	2	247	241	72	255	255	replace43.db
3	3	182	110	90	255	255	replace44.db
3	4	116	234	108	255	255	replace45.db
3	5	51	103	126	255	255	replace46.db
3	5	240	227	144	255	255	replace47.db
3	6	175	96	162	255	255	replace48.db
3	7	109	220	180	255	255	replace49.db
3	8	44	89	198	255	255	replace50.db
3	8	233	213	216	255	255	replace51.db
3	9	168	82	234	255	255	replace52.db
3	10	102	206	252	255	255	replace53.db
3	11	37	76	15	255	255	replace54.db
3	11	226	200	19	255	255	replace55.db
4	0	194	46	181	255	255	replace56.db
4	1	133	93	107	255	255	replace57.db
4	2	72	140	33	255	255	replace58.db
4	3	11	186	214	255	255	replace59.db
4	3	205	233	140	255	255	replace60.db
4	4	145	25	66	255	255	replace61.db
4	5	84	71	247	255	255	replace62.db
4	6	23	118	173	255	255	replace63.db
4	6	217	165	99	255	255	replace64.db
4	7	156	212	25	255	255	replace65.db
4	8	96	3	206	255	255	replace66.db
4	9	35	50	132	255	255	replace67.db
4	9	229	97	58	255	255	replace68.db
4	10	168	143	239	255	255	replace69.db
4	11	107	190	155	255	255	replace70.db
5	0	183	107	213	255	255	replace71.db
5	1	111	215	171	255	255	replace72.db
5	2	40	68	129	255	255	replace73.db
5	2	223	176	87	255	255	replace74.db
5	3	152	29	45	255	255	replace75.db
5	4	80	137	3	255	255	replace76.db
5	5	8	244	216	255	255	replace77.db
5	5	192	97	174	255	255	replace78.db
5	6	120	205	132	255	255	replace79.db
5	7	49	58	90	255	255	replace80.db
5	7	232	166	48	255	255	replace81.db
5	8	161	19	6	255	255	replace82.db
5	9	89	126	219	255	255	replace83.db
5	10	17	234	177	255	255	replace84.db
5	10	201	87	127	255	255	replace85.db
6	0	185	96	114	255	255	replace86.db
6	1	115	192	228	255	255	replace87.db
6	2	46	34	87	255	255	replace88.db
6	2	231	130	201	255	255	replace89.db
6	3	161	227	60	255	255	replace90.db
6	4	92	68	174	255	255	replace91.db
6	5	22	165	33	255	255	replace92.db
6	5	208	6	147	255	255	replace93.db
6	6	138	103	6	255	255	replace94.db
6	7	68	199	120	255	255	replace95.db
6	7	254	40	234	255	255	replace96.db
6	8	184	137	93	255	255	replace97.db
6	9	114	233	207	255	255	replace98.db
6	10	45	75	61	255	255	replace99.db
7	0	185	68	25	255	255	replace100.db
7	1	115	136	50	255	255	replace101.db
7	2	45	204	75	255	255	replace102.db
7	2	231	17	100	255	255	replace103.db
7	3	161	85	125	255	255	replace104.db
7	4	91	153	150	255	255	replace105.db
7	5	21	221	175	255	255	replace106.db
7	5	207	34	200	255	255	replace107.db
7	6	137	102	225	255	255	replace108.db
7	7	67	170	250	255	255	replace109.db
7	7	252	239	20	255	255	replace110.db
7	8	183	52	45	255	255	replace111.db
7	9	113	120	67	255	255	replace112.db
8	0	184	220	213	255	255	replace113.db
8	1	114	186	171	255	255	replace114.db
8	2	44	152	129	255	255	replace115.db
8	2	229	118	87	255	255	replace116.db
8	3	159	84	45	255	255	replace117.db
8	4	89	50	3	255	255	replace118.db
8	5	19	15	216	255	255	replace119.db
8	5	203	236	174	255	255	replace120.db
8	6	133	202	132	255	255	replace121.db
8	7	63	168	90	255	255	replace122.db
8	7	248	134	48	255	255	replace123.db
8	8	178	100	2	255	255	replace124.db
9	0	185	217	217	255	255	replace125.db
9	1	116	180	179	255	255	replace126.db
9	2	47	143	141	255	255	replace127.db
9	2	233	106	103	255	255	replace128.db
9	3	164	69	65	255	255	replace129.db
9	4	95	32	27	255	255	replace130.db
9	5	25	249	244	255	255	replace131.db
9	5	211	212	206	255	255	replace132.db
9	6	142	175	168	255	255	replace133.db
9	7	73	138	130	255	255	replace134.db
9	8	4	101	91	255	255	replace135.db
10	0	187	52	190	255	255	replace136.db
10	1	119	105	125	255	255	replace137.db
10	2	51	158	60	255	255	replace138.db
10	2	238	210	250	255	255	replace139.db
10	3	171	8	185	255	255	replace140.db
10	4	103	61	120	255	255	replace141.db
10	5	35	114	55	255	255	replace142.db
10	5	222	166	245	255	255	replace143.db
10	6	154	219	180	255	255	replace144.db
10	7	87	17	115	255	255	replace145.db
10	8	19	70	42	255	255	replace146.db
11	0	186	130	44	255	255	replace147.db
11	1	118	5	88	255	255	replace148.db
11	2	49	135	132	255	255	replace149.db
11	2	236	10	176	255	255	replace150.db
11	3	167	140	220	255	255	replace151.db
11	4	99	16	9	255	255	replace152.db
11	5	30	146	53	255	255	replace153.db
11	5	217	21	97	255	255	replace154.db
11	6	148	151	141	255	255	replace155.db
11	7	80	26	185	255	255	replace156.db
11	8	11	156	224	255	255	replace157.db
12	0	184	127	173	255	255	replace158.db
12	1	113	255	91	255	255	replace159.db
12	2	43	128	9	255	255	replace160.db
12	2	227	255	182	255	255	replace161.db
12	3	157	128	100	255	255	replace162.db
12	4	87	1	18	255	255	replace163.db
12	5	16	128	191	255	255	replace164.db
12	5	201	1	109	255	255	replace165.db
12	6	130	129	27	255	255	replace166.db
12	7	60	1	200	255	255	replace167.db
12	7	244	129	114	255	255	replace168.db
13	0	192	221	140	255	255	replace169.db
13	1	130	188	25	255	255	replace170.db
13	2	68	154	165	255	255	replace171.db
13	3	6	121	50	255	255	replace172.db
13	3	199	87	190	255	255	replace173.db
13	4	137	54	75	255	255	replace174.db
13	5	75	20	215	255	255	replace175.db
13	6	12	242	100	255	255	replace176.db
13	6	205	208	232	255	255	replace177.db
14	0	200	29	126	255	255	replace178.db
14	1	145	58	252	255	255	replace179.db
14	2	90	88	123	255	255	replace180.db
14	3	35	117	249	255	255	replace181.db
14	3	235	147	120	255	255	replace182.db
14	4	180	176	246	255	255	replace183.db
14	5	125	206	117	255	255	replace184.db
14	6	70	235	240	255	255	replace185.db
15	0	190	83	145	255	255	replace186.db
15	1	125	167	35	255	255	replace187.db
15	2	60	250	180	255	255	replace188.db
15	2	251	79	70	255	255	replace189.db
15	3	186	162	215	255	255	replace190.db
15	4	121	246	105	255	255	replace191.db
15	5	57	74	250	255	255	replace192.db
15	5	247	158	135	255	255	replace193.db
16	0	195	117	178	255	255	replace194.db
16	1	135	235	101	255	255	replace195.db
16	2	76	98	24	255	255	replace196.db
16	3	16	215	202	255	255	replace197.db
16	3	212	78	125	255	255	replace198.db
16	4	152	196	48	255	255	replace199.db
16	5	93	58	223	255	255	replace200.db
17	0	207	21	184	255	255	replace201.db
17	1	159	43	113	255	255	replace202.db
17	2	111	65	42	255	255	replace203.db
17	3	63	86	226	255	255	replace204.db
17	4	15	108	155	255	255	replace205.db
17	4	222	130	80	255	255	replace206.db
18	0	197	18	28	255	255	replace207.db
18	1	139	36	56	255	255	replace208.db
18	2	81	54	84	255	255	replace209.db
18	3	23	72	112	255	255	replace210.db
18	3	220	90	140	255	255	replace211.db
18	4	162	108	166	255	255	replace212.db
19	0	194	19	3	255	255	replace213.db
19	1	133	38	6	255	255	replace214.db
19	2	72	57	9	255	255	replace215.db
19	3	11	76	12	255	255	replace216.db
19	3	205	95	12	255	255	replace217.db
20	0	193	160	91	255	255	replace218.db
20	1	132	65	182	255	255	replace219.db
20	2	70	226	18	255	255	replace220.db
20	3	9	131	109	255	255	replace221.db
20	3	203	36	196	255	255	replace222.db
21	0	238	68	179	255	255	replace223.db
21	1	221	137	103	255	255	replace224.db
21	2	204	206	25	255	255	replace225.db
22	0	188	61	91	255	255	replace226.db
22	1	121	122	182	255	255	replace227.db
22	2	54	184	18	255	255	replace228.db
22	2	242	245	108	255	255	replace229.db
23	0	193	85	69	255	255	replace230.db
23	1	131	170	138	255	255	replace231.db
23	2	69	255	207	255	255	replace232.db
23	3	8	86	21	255	255	replace233.db
23	3	201	171	90	255	255	replace234.db
23	4	140	1	159	255	255	replace235.db
23	5	78	86	228	255	255	replace236.db
23	6	16	172	42	255	255	replace237.db
23	6	210	2	111	255	255	replace238.db
23	7	148	87	180	255	255	replace239.db
23	8	86	172	249	255	255	replace240.db
23	9	25	3	54	255	255	replace241.db
24	0	193	166	51	255	255	replace242.db
24	1	132	77	102	255	255	replace243.db
24	2	70	243	153	255	255	replace244.db
24	3	9	154	201	255	255	replace245.db
